"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Mar-28","297","1","23"
"Mar-29","277","3","32"
"Mar-30","273","6","27"
"Mar-31","289","5","20"
"Abr-01","301","2","28"
"Abr-02","291","6","25"
"Abr-03","276","9","23"
"Abr-04","283","3","30"
"Abr-05","302","7","34"
"Abr-06","287","3","18"
"Abr-07","294","4","27"
"Abr-08","272","5","27"
"Abr-09","309","2","23"
"Abr-10","274","4","28"
"Abr-11","308","2","31"
"Abr-12","278","2","31"
"Abr-13","265","2","16"
"Abr-14","305","5","30"
"Abr-15","273","3","19"
"Abr-16","276","7","30"
"Abr-17","265","3","25"
"Abr-18","261","4","23"
"Abr-19","267","3","21"
"Abr-20","299","4","21"
"Abr-21","218","13","25"
"Abr-22","245","8","22"
"Abr-23","279","4","15"
"Abr-24","233","6","23"
"Abr-25","252","4","21"
"Abr-26","278","7","33"
"Abr-27","265","4","23"
"Abr-28","288","3","24"
"Abr-29","246","6","16"
"Abr-30","268","8","24"
"Mai-01","234","9","18"
"Mai-02","240","5","31"
"Mai-03","256","4","18"
"Mai-04","285","4","31"
"Mai-05","262","6","16"
"Mai-06","244","4","22"
"Mai-07","231","3","14"
"Mai-08","260","4","15"
"Mai-09","259","4","22"
"Mai-10","247","5","26"
"Mai-11","227","3","20"
"Mai-12","247","3","17"
"Mai-13","251","6","22"
"Mai-14","232","1","19"
"Mai-15","236","5","21"
"Mai-16","280","10","28"
"Mai-17","302","4","21"
"Mai-18","240","5","16"
"Mai-19","258","7","22"
"Mai-20","272","8","29"
"Mai-21","250","8","35"
"Mai-22","222","6","27"
"Mai-23","270","4","21"
"Mai-24","247","6","23"
"Mai-25","257","5","22"
"Mai-26","247","4","20"
"Mai-27","247","5","27"
"Mai-28","279","5","24"
"Mai-29","226","10","26"
"Mai-30","255","4","22"
"Mai-31","240","2","22"
"Jun-01","271","6","20"
"Jun-02","253","5","17"
"Jun-03","273","3","26"
"Jun-04","276","6","22"
"Jun-05","249","4","18"
"Jun-06","252","4","19"
"Jun-07","250","5","25"
"Jun-08","246","2","24"
"Jun-09","250","3","17"
"Jun-10","264","6","24"
"Jun-11","230","5","28"
"Jun-12","231","4","20"
"Jun-13","235","2","26"
"Jun-14","236","3","20"
"Jun-15","236","5","23"
"Jun-16","213","5","19"
"Jun-17","236","4","22"
"Jun-18","240","8","25"
"Jun-19","226","5","14"
"Jun-20","236","4","28"
"Jun-21","279","4","29"
"Jun-22","252","10","18"
"Jun-23","237","2","20"
"Jun-24","265","4","24"
"Jun-25","252","6","22"
"Jun-26","217","1","17"
"Jun-27","259","7","29"
"Jun-28","239","5","21"
"Jun-29","251","6","19"
"Jun-30","228","10","25"
"Jul-01","246","7","20"
"Jul-02","226","4","18"
"Jul-03","243","8","28"
"Jul-04","273","9","33"
"Jul-05","252","1","26"
"Jul-06","267","5","16"
"Jul-07","234","5","29"
"Jul-08","247","3","18"
"Jul-09","223","6","19"
"Jul-10","232","3","19"
"Jul-11","255","11","21"
"Jul-12","204","4","20"
"Jul-13","253","4","28"
"Jul-14","236","1","25"
"Jul-15","241","6","16"
"Jul-16","276","5","20"
"Jul-17","284","4","25"
"Jul-18","257","5","24"
"Jul-19","285","5","21"
"Jul-20","259","12","23"
"Jul-21","279","5","19"
"Jul-22","230","4","17"
"Jul-23","223","6","19"
"Jul-24","247","3","21"
"Jul-25","268","4","20"
"Jul-26","291","5","26"
"Jul-27","269","6","25"
"Jul-28","292","9","22"
"Jul-29","273","5","21"
"Jul-30","235","2","25"
"Jul-31","241","7","17"
"Ago-01","256","6","27"
"Ago-02","230","2","30"
"Ago-03","225","5","28"
"Ago-04","239","7","24"
"Ago-05","231","2","23"
"Ago-06","246","4","21"
"Ago-07","241","6","18"
"Ago-08","280","9","26"
"Ago-09","297","7","24"
"Ago-10","263","8","29"
"Ago-11","285","7","19"
"Ago-12","251","7","21"
"Ago-13","264","1","22"
"Ago-14","252","6","22"
"Ago-15","255","7","28"
"Ago-16","272","4","34"
"Ago-17","251","7","28"
"Ago-18","222","1","20"
"Ago-19","223","7","17"
"Ago-20","233","2","21"
"Ago-21","235","7","20"
"Ago-22","251","4","26"
"Ago-23","255","5","28"
"Ago-24","241","3","19"
"Ago-25","238","3","28"
"Ago-26","254","4","27"
"Ago-27","241","3","25"
"Ago-28","235","4","24"
"Ago-29","264","13","28"
"Ago-30","228","4","26"
"Ago-31","223","5","18"
"Set-01","226","4","23"
"Set-02","254","9","25"
"Set-03","229","7","21"
"Set-04","253","2","26"
"Set-05","266","8","28"
"Set-06","252","4","20"
"Set-07","241","2","17"
"Set-08","280","7","21"
"Set-09","221","4","13"
"Set-10","220","6","17"
"Set-11","225","5","17"
"Set-12","236","4","21"
"Set-13","208","4","22"
"Set-14","199","2","17"
"Set-15","227","6","19"
"Set-16","225","4","27"
"Set-17","194","7","18"
"Set-18","247","8","20"
"Set-19","237","3","15"
"Set-20","239","5","34"
"Set-21","244","7","19"
"Set-22","220","6","22"
"Set-23","237","5","28"
"Set-24","252","0","18"
"Set-25","229","6","19"
"Set-26","219","5","18"
"Set-27","254","4","18"
"Set-28","246","3","27"
"Set-29","253","1","14"
"Set-30","246","7","30"
"Out-01","227","7","26"
"Out-02","238","2","15"
"Out-03","239","2","32"
"Out-04","245","3","29"
"Out-05","222","2","21"
"Out-06","254","4","21"
"Out-07","230","3","23"
"Out-08","259","4","17"
"Out-09","228","7","28"
"Out-10","260","5","14"
"Out-11","240","3","30"
"Out-12","244","3","23"
"Out-13","236","4","23"
"Out-14","239","4","19"
"Out-15","248","3","23"
"Out-16","245","1","20"
"Out-17","262","2","28"
"Out-18","241","3","14"
"Out-19","291","2","20"
"Out-20","281","7","26"
"Out-21","271","3","14"
"Out-22","266","4","20"
"Out-23","258","1","25"
"Out-24","233","8","22"
"Out-25","253","5","18"
"Out-26","261","8","16"
"Out-27","272","6","21"
"Out-28","227","11","26"
"Out-29","261","5","37"
"Out-30","263","1","19"
"Out-31","253","3","33"
"Nov-01","248","4","15"
"Nov-02","236","5","28"
"Nov-03","273","4","25"
"Nov-04","262","5","22"
"Nov-05","243","5","20"
"Nov-06","225","2","35"
"Nov-07","215","8","30"
"Nov-08","238","8","23"
"Nov-09","284","1","18"
"Nov-10","269","10","16"
"Nov-11","279","3","14"
"Nov-12","299","3","27"
"Nov-13","271","3","23"
"Nov-14","276","5","21"
"Nov-15","248","3","26"
"Nov-16","254","6","19"
"Nov-17","250","5","33"
"Nov-18","299","5","12"
"Nov-19","312","8","19"
"Nov-20","302","5","24"
"Nov-21","273","8","27"
"Nov-22","262","4","24"
"Nov-23","252","2","25"
"Nov-24","296","6","40"
"Nov-25","312","3","30"
"Nov-26","307","3","26"
"Nov-27","282","5","21"
"Nov-28","302","8","29"
"Nov-29","287","5","24"
"Nov-30","321","5","27"
"Dez-01","307","4","15"
"Dez-02","334","4","32"
"Dez-03","303","2","30"
"Dez-04","332","1","24"
"Dez-05","306","5","29"
"Dez-06","315","1","25"
"Dez-07","275","3","21"
"Dez-08","312","7","24"
"Dez-09","320","5","39"
"Dez-10","310","4","25"
"Dez-11","302","4","43"
"Dez-12","320","6","42"
"Dez-13","325","1","29"
"Dez-14","331","7","25"
"Dez-15","280","5","37"
"Dez-16","344","7","32"
"Dez-17","332","6","32"
"Dez-18","330","5","32"
"Dez-19","363","2","31"
"Dez-20","328","6","32"
"Dez-21","337","4","36"
"Dez-22","379","5","36"
"Dez-23","363","5","24"
"Dez-24","395","4","50"
"Dez-25","371","5","44"
"Dez-26","392","7","35"
"Dez-27","422","9","36"
"Dez-28","390","6","43"
"Dez-29","408","6","40"
"Dez-30","418","6","40"
"Dez-31","435","2","33"
